,Player,Year,Salaries,Status,Z-Score Salary
95,Sam Cassell,2001,4000000,FLORIDAST,-0.7339538054761301
96,Elton Brand,2001,3629160,DUKE,-1.6909245314539338
97,Michael Finley,2001,8400000,WISCONSIN,-1.3827789415367233
98,Andre Miller,2001,1808400,UTAH,-1.4462532092907805
99,Chris Webber,2001,12000000,MICHIGAN,-1.1364459661428097
100,Nick Van Exel,2001,9200000,CINCY,-0.4639885368383551
101,Reggie Miller,2001,10670000,UCLA,0.2173513188267702
102,Bonzi Wells,2001,1528440,BALLST,-0.7363973787557807
103,Jason Kidd,2001,7680000,CALIFORNIA,-1.0028720359199217
104,Keith Van Horn,2001,9000000,UTAH,-1.0632890710427347
105,Juwan Howard,2001,16875000,MICHIGAN,0.6148480277187645
106,Jeff McInnis,2001,523500,UNC,-0.8854136247065431
107,Alonzo Mourning,2001,16880000,GEORGETOWN,1.1544659298030038
108,Cliff Robinson,2001,6890000,USC,0.26584070591647246
109,Brent Barry,2001,4320000,OREGONST,-0.7757728257249465
110,Kurt Thomas,2001,3680000,TXCHRIST,-1.1671628389347444
111,Antonio Davis,2001,5500000,UTEP,-1.147132770283003
112,John Stockton,2001,11000000,GONZAGA,0.7071067811865476
113,Kerry Kittles,2001,7770000,VILLANOVA,-0.8713074375508545
114,Mike Bibby,2001,3308160,ARIZONA,-1.3628378532185672
115,Kenyon Martin,2001,3536640,CINCY,-0.772535416615215
116,Quentin Richardson,2001,1020960,DEPAUL,-0.9586939996356321
117,Elden Campbell,2001,8050000,CLEMSON,0.5773502691896257
118,Corliss Williamson,2001,3940000,ARKANSAS,-0.8484127149738333
119,Raef LaFrentz,2001,2970840,KANSAS,-0.7760393281404329
120,Brad Miller,2001,4000000,PURDUE,-1.1309099997800753
121,Chauncey Billups,2001,2250000,COLORADO,-1.2422153491118109
122,Damon Stoudamire,2001,11250000,ARIZONA,-0.26111648393354675
123,Darrell Armstrong,2001,3100000,FAYETVILST,0.07268602970824711
124,Kenny Thomas,2001,885120,NMEXICO,-0.7091210121763355
125,Doug Christie,2001,3140000,PEPPERDINE,-1.0892710760804487
126,Alvin Williams,2001,2100000,VILLANOVA,-0.7071067811865475
127,Ricky Davis,2001,939360,IOWA,-1.5335202266117818
128,Matt Harpring,2001,1244880,GATECH,-1.3555967560482889
129,Chucky Atkins,2001,3000000,SFLORIDA,-1.2538313376430714
130,David Robinson,2001,14700000,NAVY,0.7071067811865476
131,David Wesley,2001,2880000,BAYLOR,-0.6721492062655823
132,Troy Hudson,2001,523500,SILLINOIS,-0.614716341613227
133,Desmond Mason,2001,1074720,OKSTATE,-0.7311969441583684
134,Dikembe Mutombo,2001,14400000,GEORGETOWN,0.36562129334071924
135,Rodney Rogers,2001,2200000,WAKE,-0.43848064893878946
136,Keon Clark,2001,1379400,UNLV,-0.4510467931096416
137,Bobby Jackson,2001,2250000,MINNESOTA,-0.9461681751594946
138,Larry Hughes,2001,1842480,STLOUIS,-0.9043809387319394
139,Steve Smith,2001,8100000,MICHIGANST,-0.2182178902359924
140,Michael Olowokandi,2001,3697440,PACIFIC,0.7071067811865475
141,Pat Garrity,2001,1019280,NOTREDAME,-0.6735442899623943
142,Tim Thomas,2001,8510000,VILLANOVA,-1.0297902542085795
143,Danny Fortson,2001,3950000,CINCY,-0.7071067811865476
144,Ruben Patterson,2001,990000,CINCY,-1.924946252218928
145,Voshon Lenard,2001,3780000,MINNESOTA,0.7071067811865476
146,Nazr Mohammed,2001,739080,KENTUCKY,-1.7296566364377772
147,Anthony Mason,2001,5550000,TENNST,0.7071067811865475
148,Derek Fisher,2001,3380000,ARKANSASLR,-0.4906581969822379
149,James Posey,2001,1047600,XAVIER,-1.0459910930687324
150,Bob Sura,2001,4390000,FLORIDAST,-0.7071067811865476
151,Malik Rose,2001,2570000,DREXEL,-0.7511735141314237
152,Joe Smith,2001,2250000,MARYLAND,-1.6179516259832654
153,Derek Anderson,2001,2250000,KENTUCKY,-0.7071067811865476
154,Antonio Daniels,2001,2820000,BOWLGREEN,-0.6208079448701846
155,Dale Davis,2001,6000000,CLEMSON,-0.5195377466919633
156,Jon Barry,2001,2730000,GATECH,-1.063116223973762
157,Anthony Peeler,2001,2740000,MISSOURI,-0.41441796377424817
158,Jamaal Magloire,2001,975000,KENTUCKY,-0.7480721548745832
159,Mark Jackson,2001,3570000,STJOHNS,-0.7071067811865476
160,Lucious Harris,2001,2160000,LONGBEACH,-0.5738336123751195
161,Brian Grant,2001,8900000,XAVIER,-0.987607082888828
162,Jumaine Jones,2001,735600,GEORGIA,-0.7206219054417751
163,Moochie Norris,2001,523500,WFLORIDA,-0.7071067811865476
164,Rick Fox,2001,3400000,UNC,-0.021317390627208003
165,Bryon Russell,2001,4570000,LONGBEACH,0.7111794693200729
166,Eric Piatkowski,2001,2200000,NEBRASKA,-0.7071067811865476
167,Ben Wallace,2001,4000000,VAUNION,-0.7080022180371632
168,Erick Strickland,2001,2560000,NEBRASKA,0.7071067811865476
169,Tony Delk,2001,2250000,KENTUCKY,-0.7071067811865476
170,Othella Harrington,2001,2250000,GEORGETOWN,-0.6751399510385769
171,Aaron Williams,2001,2250000,XAVIER,-1.0
172,Travis Best,2001,3500000,GATECH,0.6005097171864764
173,Devean George,2001,849720,AUGSBURGMN,-0.8624046454401535
174,Chris Mihm,2001,1923600,TEXAS,-0.8664874064211817
175,Tyronn Lue,2001,865800,NEBRASKA,-1.4081885802365628
176,Erick Dampier,2001,5610000,MISSST,-1.3510395531784916
177,Robert Horry,2001,4800000,ALABAMA,0.44528511046758673
178,Jacque Vaughn,2001,1500000,KANSAS,1.794784446480129
179,Jerome Williams,2001,2870000,GEORGETOWN,-1.0978539505649454
180,Austin Croshere,2001,5300000,PROVIDENCE,-1.1108948500060307
181,Tony Battie,2001,3200000,TXTECH,-1.4638501094227998
182,Scott Padgett,2001,730800,KENTUCKY,-0.06269523710422602
183,Kelvin Cato,2001,5330000,IOWAST,-1.0166366525655859
184,Speedy Claxton,2001,936000,HOFSTRA,-0.7071067811865476
185,Lindsey Hunter,2001,2650000,JACKSONST,-0.05123155195785552
186,Eric Williams,2001,3890000,PROVIDENCE,-0.38924770424226257
187,Jeff Foster,2001,922080,SWTEXAS,-0.9840184034005579
188,Kevin Ollie,2001,523500,UCONN,-0.6666984215020848
189,Samaki Walker,2001,2960000,LOUISVILLE,0.7071067811865475
190,Shandon Anderson,2001,2200000,GEORGIA,-1.4547918390583319
191,Tony Massenburg,2001,1360000,MARYLAND,0.7071067811865476
192,Terry Porter,2001,2200000,WISCSP,0.7071067811865475
193,Adonal Foyle,2001,3580000,COLGATE,-0.975177473886818
194,Bo Outlaw,2001,4500000,HOUSTON,-1.1111712727517942
195,Ryan Bowen,2001,510000,IOWA,-0.7071067811865476
196,Vitaly Potapenko,2001,4290000,WRIGHTST,0.7071067811865476
197,Stacey Augmon,2001,923500,UNLV,-1.1547005383792515
198,Fred Hoiberg,2001,880000,IOWAST,-0.677296977363577
199,Damon Jones,2001,710000,HOUSTON,-0.8622759538516853
200,Michael Curry,2001,2200000,GEORGIASOU,-1.0
201,Darvin Ham,2001,1700000,TXTECH,0.5262362427760722
202,Chris Childs,2001,4680000,BOISEST,0.7071067811865476
203,Greg Ostertag,2001,5200000,KANSAS,-0.8333331054122872
204,Walter McCarty,2001,2670000,KENTUCKY,0.6431788626513156
205,Ervin Johnson,2001,2700000,NORLEANS,-1.0388194617126831
206,Joel Przybilla,2001,1619880,MINNESOTA,-1.0346292334236546
207,Brian Shaw,2001,2250000,UCSB,0.7071067811865475
208,Allen Iverson,2002,11250000,GEORGETOWN,-0.9309166834462638
209,Paul Pierce,2002,2051271,KANSAS,-1.630802209633186
210,Tim Duncan,2002,10865250,WAKE,-0.9840450668941746
211,Allan Houston,2002,12750000,TENNESSEE,0.7071067811865476
212,Shaquille O'Neal,2002,21428572,LSU,-0.15372293181975538
