,Player,Year,Status,Points Per Game,Assists Per Game,Rebounds Per Game,Goals Made Per Game
50,Antonio Davis,2000,Professional,13.705128205128204,1.358974358974359,10.08974358974359,4.8076923076923075
51,Damon Stoudamire,2000,Professional,13.0,5.7073170731707314,3.6951219512195124,4.951219512195122
52,Jeff McInnis,2000,Professional,12.91358024691358,5.518518518518518,2.7160493827160495,5.333333333333333
53,Elden Campbell,2000,Professional,13.102564102564102,1.3333333333333333,7.794871794871795,4.705128205128205
54,Raef LaFrentz,2000,Professional,12.923076923076923,1.3717948717948718,7.782051282051282,4.961538461538462
55,Tony Delk,2000,Professional,12.25609756097561,1.951219512195122,3.182926829268293,4.670731707317073
56,Rodney Rogers,2000,Professional,12.170731707317072,2.1951219512195124,4.378048780487805,4.597560975609756
57,Lamond Murray,2000,Professional,12.794871794871796,1.5897435897435896,4.358974358974359,5.012820512820513
58,Doug Christie,2000,Professional,12.296296296296296,3.567901234567901,4.382716049382716,3.8395061728395063
59,Ruben Patterson,2000,Professional,13.0,2.1184210526315788,5.026315789473684,4.868421052631579
60,Mike Miller,2000,Professional,11.890243902439025,1.7073170731707317,3.9878048780487805,4.487804878048781
61,Voshon Lenard,2000,Professional,12.15,2.375,2.8875,4.2
62,Chucky Atkins,2000,Professional,11.987654320987655,4.074074074074074,2.1358024691358026,4.691358024691358
63,Tim Thomas,2000,Professional,12.552631578947368,1.8157894736842106,4.118421052631579,4.2894736842105265
64,Bonzi Wells,2000,Professional,12.666666666666666,2.7733333333333334,4.8933333333333335,5.16
65,John Stockton,2000,Professional,11.512195121951219,8.695121951219512,2.768292682926829,4.0
66,Bryon Russell,2000,Professional,11.961538461538462,2.051282051282051,4.230769230769231,3.948717948717949
67,Vin Baker,2000,Professional,12.197368421052632,1.1842105263157894,5.657894736842105,4.565789473684211
68,Clarence Weatherspoon,2000,Professional,11.268292682926829,1.2560975609756098,9.707317073170731,4.2317073170731705
69,Travis Best,2000,Professional,11.922077922077921,6.142857142857143,2.883116883116883,4.5064935064935066
70,Metta World Peace,2000,Professional,11.93421052631579,3.0,3.8684210526315788,4.302631578947368
71,Glen Rice,2000,Professional,11.986666666666666,1.1866666666666668,4.093333333333334,4.413333333333333
72,Johnny Newman,2000,Professional,10.914634146341463,1.4024390243902438,2.1463414634146343,3.548780487804878
73,Lorenzen Wright,2000,Professional,12.408450704225352,1.2253521126760563,7.535211267605634,5.112676056338028
74,Aaron McKie,2000,Professional,11.552631578947368,4.9605263157894735,4.092105263157895,4.447368421052632
75,Eric Piatkowski,2000,Professional,10.617283950617283,1.1851851851851851,2.9753086419753085,3.5925925925925926
76,Chris Gatling,2000,Professional,11.378378378378379,0.8243243243243243,5.283783783783784,4.445945945945946
77,Aaron Williams,2000,Professional,10.21951219512195,1.0731707317073171,7.195121951219512,3.6219512195121952
78,Lindsey Hunter,2000,Professional,10.060975609756097,2.707317073170732,2.0609756097560976,3.6341463414634148
79,Austin Croshere,2000,Professional,10.148148148148149,1.1358024691358024,4.777777777777778,3.4074074074074074
80,Alvin Williams,2000,Professional,9.78048780487805,4.963414634146342,2.5853658536585367,4.024390243902439
81,Kurt Thomas,2000,Professional,10.38961038961039,0.8181818181818182,6.688311688311688,4.077922077922078
82,Anthony Peeler,2000,Professional,10.546666666666667,2.56,2.56,4.1066666666666665
83,Rick Fox,2000,Professional,9.597560975609756,3.1951219512195124,3.9634146341463414,3.5
84,LaPhonso Ellis,2000,Professional,9.414634146341463,1.1341463414634145,6.024390243902439,3.6341463414634148
85,Alan Henderson,2000,Professional,10.534246575342467,0.684931506849315,5.561643835616438,4.082191780821918
86,Patrick Ewing,2000,Professional,9.620253164556962,1.1645569620253164,7.405063291139241,3.721518987341772
87,Bryant Stith,2000,Professional,9.692307692307692,2.1538461538461537,3.641025641025641,3.141025641025641
88,Dikembe Mutombo,2000,Professional,9.986666666666666,1.0133333333333334,13.533333333333333,3.5866666666666664
89,Charles Oakley,2000,Professional,9.58974358974359,3.3846153846153846,9.5,3.91025641025641
90,Morris Peterson,2000,Professional,9.3375,1.3125,3.2375,3.625
